ANNO,ATS STRUTTURA,CODICE STRUTTURA DI RICOVERO,DESCRIZIONE STRUTTURA DI RICOVERO,CODICE ACC DI DIAGNOSI 1,DESCRIZIONE ACC DI DIAGNOSI 1,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2016,325 - ATS DI BERGAMO,030143-00,CLINICHE GAVAZZENI SPA - BERGAMO,1,MALATTIE INFETTIVE E PARASSITARIE,16.941176,1
2016,328 - ATS DI PAVIA,030194-00,OSPEDALE CIVILE - VOGHERA,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,6.602941,0
2016,327 - ATS DELLA VAL PADANA,030227-02,PRES. RIABIL. MULTIFUNZ. BOZZOLO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,21.5,0
2017,326 - ATS DI BRESCIA,030178-00,IST.CLIN. CITTA' DI BRESCIA - BRESCIA,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,3.608197,1
2016,328 - ATS DI PAVIA,030192-00,OSPEDALE SS.ANNUNZIATA - VARZI,16,LESIONI E AVVELENAMENTO,7.612903,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030948-00,IRCCS MULTIMEDICA - MILANO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,3.283925,1
2017,323 - ATS DELLA MONTAGNA,030035-00,C.O.F. LANZO HOSPITAL - RAMPONIO VERNA,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,11.05364,1
2016,325 - ATS DI BERGAMO,030146-00,CASA DI CURA S. FRANCESCO - BERGAMO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",8.136986,0
2017,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,16,LESIONI E AVVELENAMENTO,11.286822,1
2016,323 - ATS DELLA MONTAGNA,030044-00,OSPEDALE DI CHIAVENNA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,21.121951,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030116-00,CLINICA SAN CARLO - PADERNO DUGNANO,16,LESIONI E AVVELENAMENTO,10.283105,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030104-00,CASA DI CURA S.RAFFAELE TURRO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",30.5,0
2014,325 - ATS DI BERGAMO,030145-00,CLINICA  CASTELLI - BERGAMO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,1.444444,1
2014,328 - ATS DI PAVIA,030192-00,OSPEDALE SS.ANNUNZIATA - VARZI,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,7.666667,1
2015,326 - ATS DI BRESCIA,030295-00,FONDAZIONE POLIAMBULANZA - BRESCIA,18,"CODICI RESIDUI, NON CLASSIFICATI",1.695238,1.058824
2016,325 - ATS DI BERGAMO,030138-00,OSP.LE SS.TRINITA'-ROMANO DI LOMBARDIA,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,0,1
2016,323 - ATS DELLA MONTAGNA,030035-00,C.O.F. LANZO HOSPITAL - RAMPONIO VERNA,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,3.272727,1
2015,325 - ATS DI BERGAMO,030134-00,OSPEDALE F. M. PASSI - CALCINATE,18,"CODICI RESIDUI, NON CLASSIFICATI",1,1
2015,328 - ATS DI PAVIA,030190-00,OSPEDALE CARLO MIRA-CASORATE PRIMO,18,"CODICI RESIDUI, NON CLASSIFICATI",17.2,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030911-00,ISTITUTO ORTOPEDICO GAETANO PINI - MILANO,18,"CODICI RESIDUI, NON CLASSIFICATI",1.277778,1
2016,326 - ATS DI BRESCIA,030275-00,ISTITUTO CLINICO S. ROCCO S.P.A. - OME,2,NEOPLASIE,8.222222,1
2016,327 - ATS DELLA VAL PADANA,030273-00,PRESIDIO OSPEDALIERO OGLIO PO-CASALMAGGIORE,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,9.283333,0
2016,327 - ATS DELLA VAL PADANA,030357-00,OSP. SAN PELLEGRINO - CASTIGLIONE D/S,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,9.355932,0
2016,322 - ATS DELL'INSUBRIA,030901-02,OSPEDALE F. DEL PONTE - VARESE,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,5.25,3
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030937-00,IRCCS S.M.NASCENTE-FOND.DON C.GNOCCHI-MILANO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,39.447115,28.15
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030051-00,P.O.  CITTA' DI SESTO S. GIOVANNI,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,5.254545,0
2016,322 - ATS DELL'INSUBRIA,030901-03,OSPEDALE DI CUASSO - CUASSO AL MONTE,7,MALATTIE DEL SISTEMA CIRCOLATORIO,36.392857,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030103-00,CASA DI CURA PALAZZOLO-FOND.DON GNOCCHI,8,MALATTIE DEL SISTEMA RESPIRATORIO,17.174545,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030073-00,OSPEDALE DI CIRCOLO - RHO,9,MALATTIE DELL'APPARATO DIGERENTE,8.722222,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030948-00,IRCCS MULTIMEDICA - MILANO,9,MALATTIE DELL'APPARATO DIGERENTE,5.697715,1
2017,322 - ATS DELL'INSUBRIA,030030-00,OSPEDALE  VALDUCE ,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,3.799541,1
2013,323 - ATS DELLA MONTAGNA,030274-02,OSPEDALE VALCAMONICA - EDOLO,18,"CODICI RESIDUI, NON CLASSIFICATI",20.384615,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030104-00,CASA DI CURA S.RAFFAELE TURRO,16,LESIONI E AVVELENAMENTO,26.84,0
2016,326 - ATS DI BRESCIA,030295-00,FONDAZIONE POLIAMBULANZA - BRESCIA,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,12.450292,0
2016,327 - ATS DELLA VAL PADANA,030209-00,OSPEDALE MAGGIORE - CREMA,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,7.895349,0
2016,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,18,"CODICI RESIDUI, NON CLASSIFICATI",4.677852,1
2016,324 - ATS DELLA BRIANZA,030109-00,CASA DI CURA VILLA BIANCA - LIMBIATE,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,17.942857,0
2015,322 - ATS DELL'INSUBRIA,030010-00,OSPEDALE GALMARINI - TRADATE,18,"CODICI RESIDUI, NON CLASSIFICATI",3.25,1
2016,325 - ATS DI BERGAMO,030144-00,CASA DI CURA BEATO PALAZZOLO - BERGAMO,9,MALATTIE DELL'APPARATO DIGERENTE,8.507463,1
2017,325 - ATS DI BERGAMO,030147-00,POLICLINICO SAN MARCO - OSIO SOTTO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,9.051282,1
2016,327 - ATS DELLA VAL PADANA,030259-00,CASA DI CURA S. CLEMENTE - MANTOVA,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",4.645833,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030922-00,"FOND.IRCCS ""ISTIT.NAZ.LE TUMORI""MILANO",3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",5.934783,1.032787
2016,327 - ATS DELLA VAL PADANA,030355-00,OSPEDALE DI SUZZARA S.P.A.,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",6.330357,0
2017,326 - ATS DI BRESCIA,030176-00,ISTITUTO CLINICO  S. ANNA - BRESCIA,14,ANOMALIE CONGENITE,2.882353,1
2016,328 - ATS DI PAVIA,030383-00,NUOVO OSPEDALE DI BRONI E STRADELLA ,18,"CODICI RESIDUI, NON CLASSIFICATI",7.533333,1
2016,322 - ATS DELL'INSUBRIA,030030-00,OSPEDALE  VALDUCE ,5,MALATTIE MENTALI,6,1.266667
2017,326 - ATS DI BRESCIA,030167-00,OSPEDALE DEI BAMBINI - BRESCIA,14,ANOMALIE CONGENITE,6.004975,1
2017,327 - ATS DELLA VAL PADANA,030217-00,CASA DI CURA ANCELLE DELLA CARITA'-CR,16,LESIONI E AVVELENAMENTO,32.140845,0
2016,322 - ATS DELL'INSUBRIA,030010-00,OSPEDALE GALMARINI - TRADATE,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",6.850877,0
2017,322 - ATS DELL'INSUBRIA,030006-00,OSP. S. ANTONIO ABATE - GALLARATE,2,NEOPLASIE,9.535785,1
2016,326 - ATS DI BRESCIA,030157-00,OSPEDALE CIVILE LA MEMORIA DI GAVARDO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,6.896552,0
2017,326 - ATS DI BRESCIA,030157-00,OSPEDALE CIVILE LA MEMORIA DI GAVARDO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,7.191336,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030112-00,IST.CLINICO S.AMBROGIO SPA-MILANO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,1.111111,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,9.236486,1
2013,322 - ATS DELL'INSUBRIA,030930-00,FOND.S.MAUGERI-CL.LAVORO E RIAB.-TRADATE,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,25.3125,0
2016,323 - ATS DELLA MONTAGNA,030274-01,OSPEDALE VALCAMONICA - ESINE,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,10.125,0
2016,326 - ATS DI BRESCIA,030175-00,CASA DI CURA S. CAMILLO - BRESCIA,5,MALATTIE MENTALI,9.956522,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030911-00,ISTITUTO ORTOPEDICO GAETANO PINI - MILANO,1,MALATTIE INFETTIVE E PARASSITARIE,13.7,0
2017,326 - ATS DI BRESCIA,030159-00,PRESIDIO OSPEDALIERO DI MONTICHIARI,7,MALATTIE DEL SISTEMA CIRCOLATORIO,9.522095,1
2017,327 - ATS DELLA VAL PADANA,030355-00,OSPEDALE DI SUZZARA S.P.A.,16,LESIONI E AVVELENAMENTO,3.933396,1
2017,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO  - PONTE S. PIETRO,1,MALATTIE INFETTIVE E PARASSITARIE,8.440816,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030922-00,"FOND.IRCCS ""ISTIT.NAZ.LE TUMORI""MILANO",9,MALATTIE DELL'APPARATO DIGERENTE,7.371901,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030915-00,OSPEDALE S. CARLO BORROMEO - MILANO,9,MALATTIE DELL'APPARATO DIGERENTE,7.687167,1
2017,327 - ATS DELLA VAL PADANA,030227-01,PRESIDIO OSPEDALIERO - ASOLA,2,NEOPLASIE,6.596639,1
2017,328 - ATS DI PAVIA,030202-00,IST.DI CURA CITTA'DI PAVIA,8,MALATTIE DEL SISTEMA RESPIRATORIO,5.875,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030936-01,IST.AUXOLOGICO ITALIANO-I.S. S.LUCA-MILANO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,20.13308,0
2016,328 - ATS DI PAVIA,030192-00,OSPEDALE SS.ANNUNZIATA - VARZI,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",9.824561,0
2016,325 - ATS DI BERGAMO,030360-00,FERB-ONLUS C.TRO ALZHEIMER-GAZZANIGA,5,MALATTIE MENTALI,41.694352,0
2017,322 - ATS DELL'INSUBRIA,030009-00,OSPEDALE A.BELLINI - SOMMA LOMBARDO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,7.125,0
2013,322 - ATS DELL'INSUBRIA,030012-00,OSPEDALE CARLO ONDOLI - ANGERA,18,"CODICI RESIDUI, NON CLASSIFICATI",3.25,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030936-01,IST.AUXOLOGICO ITALIANO-I.S. S.LUCA-MILANO,9,MALATTIE DELL'APPARATO DIGERENTE,16.875,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030057-00,OSPEDALE M. MELLONI - MILANO,1,MALATTIE INFETTIVE E PARASSITARIE,8.16129,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030085-02,OSPEDALE CROTTA OLTROCCHI-VAPRIO D'ADDA,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,8.5,1
2017,325 - ATS DI BERGAMO,030131-00,OSPEDALE DI TREVIGLIO E CARAVAGGIO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,7.530303,1
2017,323 - ATS DELLA MONTAGNA,030026-00,OSPEDALE ERBA-  RENALDI - MENAGGIO,16,LESIONI E AVVELENAMENTO,15.352239,1
2016,322 - ATS DELL'INSUBRIA,030006-00,OSP. S. ANTONIO ABATE - GALLARATE,5,MALATTIE MENTALI,10.748264,0
2015,326 - ATS DI BRESCIA,030294-00,CASA DI CURA  DOMUS SALUTIS - BRESCIA,8,MALATTIE DEL SISTEMA RESPIRATORIO,29.734783,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030121-00,CASA DI CURA S. PIO X - MILANO,5,MALATTIE MENTALI,7.461538,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-02,OSPEDALE A. ZAPPATONI-CASSANO D'ADDA,7,MALATTIE DEL SISTEMA CIRCOLATORIO,21.542857,0
2017,328 - ATS DI PAVIA,030190-00,OSPEDALE CARLO MIRA-CASORATE PRIMO,9,MALATTIE DELL'APPARATO DIGERENTE,9.730769,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030079-00,OSPEDALE CIVICO - CODOGNO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,8.615385,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,5,MALATTIE MENTALI,9.782197,0
2016,326 - ATS DI BRESCIA,030162-00,PRESIDIO OSPEDALIERO GARDONE V.T.,5,MALATTIE MENTALI,8.5,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030934-00,"CENTRO CARDIOLOGICO ""FOND. MONZINO"" - MILANO",6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,2,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-02,OSPEDALE A. ZAPPATONI-CASSANO D'ADDA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,46.658228,0
2017,326 - ATS DI BRESCIA,030156-00,OSPEDALE DI DESENZANO,18,"CODICI RESIDUI, NON CLASSIFICATI",3.043478,1
2016,322 - ATS DELL'INSUBRIA,030282-01,OSPED.CIRCOLO CAUSA PIA LUVINI-CITTIGLIO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,7.846154,1
2016,328 - ATS DI PAVIA,030939-00,FOND.IST.NEUROL.C.MONDINO-PAVIA,16,LESIONI E AVVELENAMENTO,8.466667,0
2017,324 - ATS DELLA BRIANZA,030033-00,CASA DI CURA BEATO L.TALAMONI-LECCO,9,MALATTIE DELL'APPARATO DIGERENTE,5.77551,1
2016,324 - ATS DELLA BRIANZA,030931-00,ISTITUTO SCIENTIFICO MEDEA-BOSISIO P.,18,"CODICI RESIDUI, NON CLASSIFICATI",19.555556,1
2017,328 - ATS DI PAVIA,030191-00,OSPEDALE S.MARTINO - MEDE,16,LESIONI E AVVELENAMENTO,17.384615,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030125-00,CASA DI CURA AMBROSIANA SPA-CESANO B.,5,MALATTIE MENTALI,14.25,0
2017,327 - ATS DELLA VAL PADANA,030357-00,OSP. SAN PELLEGRINO - CASTIGLIONE D/S,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,7.272727,0
2017,322 - ATS DELL'INSUBRIA,030017-00,CASA DI CURA MATER DOMINI - CASTELLANZA,7,MALATTIE DEL SISTEMA CIRCOLATORIO,4.860147,1
2016,328 - ATS DI PAVIA,030191-00,OSPEDALE S.MARTINO - MEDE,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,8.428571,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030910-00,OSPEDALE FATEBENEFRATELLI E OFTALMICO - MILANO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,8.695122,0
2017,324 - ATS DELLA BRIANZA,030108-00,CASA DI CURA ZUCCHI - CARATE BRIANZA,5,MALATTIE MENTALI,29.755034,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030367-00,OSPEDALE S. GIUSEPPE - MILANO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,4.176471,1
2017,328 - ATS DI PAVIA,030193-00,OSPEDALE CIVILE - VIGEVANO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,6.606667,1
2015,326 - ATS DI BRESCIA,030169-00,U.O. CARDIOLOGIA RIABILITATIVA FASANO D/G,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,10.4,0
2016,324 - ATS DELLA BRIANZA,030107-00,ISTITUTI CLINICI ZUCCHI SPA-MONZA,18,"CODICI RESIDUI, NON CLASSIFICATI",7.505376,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030283-00,OSPEDALE G.CASATI-PASSIRANA RHO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,30.386364,0
2016,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,9.361702,0
2016,322 - ATS DELL'INSUBRIA,030901-03,OSPEDALE DI CUASSO - CUASSO AL MONTE,8,MALATTIE DEL SISTEMA RESPIRATORIO,23.919118,0
2016,325 - ATS DI BERGAMO,030143-00,CLINICHE GAVAZZENI SPA - BERGAMO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,2.453125,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030941-00,ISTITUTO EUROPEO DI ONCOLOGIA-MILANO,1,MALATTIE INFETTIVE E PARASSITARIE,8.8,1
2016,326 - ATS DI BRESCIA,030348-00,CASA DI CURA VILLA BARBARANO - SALO',16,LESIONI E AVVELENAMENTO,18.384342,0
2016,325 - ATS DI BERGAMO,030149-00,CASA DI CURA QUARENGHI-S.PELLEGRINO T.,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,17.150877,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030281-02,OSPEDALE DI CUGGIONO,18,"CODICI RESIDUI, NON CLASSIFICATI",1.333333,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030080-00,OSPEDALE ROSSI - CASALPUSTERLENGO,1,MALATTIE INFETTIVE E PARASSITARIE,13.9375,0
2017,327 - ATS DELLA VAL PADANA,030908-00,ISTITUTI OSPITALIERI - CREMONA,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,7.070621,3.4
2017,326 - ATS DI BRESCIA,030932-00,IRCCS CENTRO MEDICO DI LUMEZZANE,8,MALATTIE DEL SISTEMA RESPIRATORIO,27.28125,0
2016,327 - ATS DELLA VAL PADANA,030380-00,OSPEDALE DI VIADANA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,32,0
2017,325 - ATS DI BERGAMO,030382-00,OSPEDALE M. O. ANTONIO LOCATELLI-PIARIO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,6.5,0
2013,324 - ATS DELLA BRIANZA,030920-00,I.N.R.C.A.- PRESIDIO DI CASATENOVO,18,"CODICI RESIDUI, NON CLASSIFICATI",6.375,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030936-01,IST.AUXOLOGICO ITALIANO-I.S. S.LUCA-MILANO,18,"CODICI RESIDUI, NON CLASSIFICATI",3.068182,1
2017,324 - ATS DELLA BRIANZA,030284-00,CENTRO DI RIABIL.VILLA BERETTA-COSTA M,14,ANOMALIE CONGENITE,15.6,1
2017,328 - ATS DI PAVIA,030192-00,OSPEDALE SS.ANNUNZIATA - VARZI,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",11.875,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030923-00,FOND.IRCCS IST.NAZ.NEUROLOGICO C.BESTA-MILANO,18,"CODICI RESIDUI, NON CLASSIFICATI",3.740741,1.5
2017,324 - ATS DELLA BRIANZA,030068-00,PRESIDIO OSPEDALIERO DI DESIO,18,"CODICI RESIDUI, NON CLASSIFICATI",8.095238,0
2017,322 - ATS DELL'INSUBRIA,030006-00,OSP. S. ANTONIO ABATE - GALLARATE,5,MALATTIE MENTALI,12.437367,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030125-00,CASA DI CURA AMBROSIANA SPA-CESANO B.,10,MALATTIE DEL SISTEMA GENITO-URINARIO,3.495798,0
2012,326 - ATS DI BRESCIA,030295-00,POLIAMBULANZA - BRESCIA,1,MALATTIE INFETTIVE E PARASSITARIE,7.610442,1
2012,323 - ATS DELLA MONTAGNA,030026-00,OSPEDALE ERBA-  RENALDI - MENAGGIO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,4.212121,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030367-00,OSPEDALE S. GIUSEPPE - MILANO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,3.344828,1
2012,324 - ATS DELLA BRIANZA,030081-00,PRESIDIO OSPEDALIERO DI GIUSSANO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,4.941176,1
2012,322 - ATS DELL'INSUBRIA,030003-00,OSPEDALE F. DEL PONTE - VARESE,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,15.350731,1
2012,326 - ATS DI BRESCIA,030167-00,OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA,16,LESIONI E AVVELENAMENTO,3.46,1
2012,322 - ATS DELL'INSUBRIA,030022-00,OSPEDALE S. ANTONIO ABATE - CANTU',16,LESIONI E AVVELENAMENTO,9.098837,1
2012,326 - ATS DI BRESCIA,030176-00,CASA DI CURA S. ANNA - BRESCIA,16,LESIONI E AVVELENAMENTO,4.92641,1
2012,325 - ATS DI BERGAMO,030149-00,CASA DI CURA QUARENGHI - S.PELLEGRINO T.,16,LESIONI E AVVELENAMENTO,18.018727,0
2012,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,6.77193,1
2012,327 - ATS DELLA VAL PADANA,030218-00,CASA DI CURA S. CAMILLO - CREMONA,2,NEOPLASIE,7.298611,1
2012,325 - ATS DI BERGAMO,030138-00,OSPEDALE SS.TRINITA'-ROMANO DI LOMBARDIA,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",8.409524,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030073-00,OSPEDALE DI CIRCOLO - RHO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,10.368421,1.666667
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030073-00,OSPEDALE DI CIRCOLO - RHO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,9.213497,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030281-02,OSPEDALE DI CUGGIONO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,9.752,0
2012,326 - ATS DI BRESCIA,030295-00,POLIAMBULANZA - BRESCIA,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,3.38092,1
2012,326 - ATS DI BRESCIA,030154-02,STABILIMENTO OSPEDALIERO DI ORZINUOVI,7,MALATTIE DEL SISTEMA CIRCOLATORIO,8.888889,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030051-00,P.O.  CITTA' DI SESTO S. GIOVANNI,16,LESIONI E AVVELENAMENTO,5.429752,1
2012,326 - ATS DI BRESCIA,030154-01,PRESIDIO OSPEDALIERO DI CHIARI,8,MALATTIE DEL SISTEMA RESPIRATORIO,5.820122,0
2012,326 - ATS DI BRESCIA,030932-00,FOND.S.MAUGERI-CL.LAV.E RIAB.-LUMEZZANE,8,MALATTIE DEL SISTEMA RESPIRATORIO,27.420732,19.75
2012,326 - ATS DI BRESCIA,030295-00,POLIAMBULANZA - BRESCIA,8,MALATTIE DEL SISTEMA RESPIRATORIO,4.724731,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030075-00,OSPEDALE DI CIRC. C.CANTU'-ABBIATEGRASSO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,9.326531,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030074-00,OSPEDALE CIVILE G. FORNAROLI - MAGENTA,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,4.333333,1
2012,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,14,ANOMALIE CONGENITE,4.547619,1
2012,325 - ATS DI BERGAMO,030350-00,OSPEDALE S.ISIDORO - TRESCORE B.,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,21.645714,0
2012,326 - ATS DI BRESCIA,030906-00,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,14,ANOMALIE CONGENITE,5.375,1
2012,326 - ATS DI BRESCIA,030175-00,CASA DI CURA S. CAMILLO - BRESCIA,16,LESIONI E AVVELENAMENTO,6.176471,0
