ANNO,CODICE_ATS_EROGAZIONE,DESCRIZIONE_ATS_EROGAZIONE,ATC_LIVELLO_1,DESCRIZIONE_ATC_LIVELLO_1,ATC_LIVELLO_2,DESCRIZIONE_ATC_LIVELLO_2,CONF_PER_ PRIMI_10_ATC_LIVELLO2
2016,326,ATS DI BRESCIA,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,141796
2017,30,REGIONE LOMBARDIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,59804
2013,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C07,BETABLOCCANTI,1143261
2013,328,ATS DI PAVIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,224
2014,324,ATS DELLA BRIANZA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,35918
2014,324,ATS DELLA BRIANZA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,38589
2014,325,ATS DI BERGAMO,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,2011
2015,322,ATS DELL'INSUBRIA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,758
2015,322,ATS DELL'INSUBRIA,D,DERMATOLOGICI,D11,ALTRI PREPARATI DERMATOLOGICI,68
2013,30,REGIONE LOMBARDIA,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,18207
2013,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C01,TERAPIA CARDIACA,605894
2013,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",247979
2014,325,ATS DI BERGAMO,D,DERMATOLOGICI,D05,ANTIPSORIASICI,32618
2014,326,ATS DI BRESCIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,8594
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,R,SISTEMA RESPIRATORIO,R06,ANTISTAMINICI PER USO SISTEMICO,561197
2016,30,REGIONE LOMBARDIA,N,SISTEMA NERVOSO,N01,ANESTETICI,75329
2016,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A11,VITAMINE,204277
2017,322,ATS DELL'INSUBRIA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P01,ANTIPROTOZOARI,45224
2013,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C10,SOSTANZE MODIFICATRICI DEI LIPIDI,1529337
2013,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,6611
2013,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A16,ALTRI FARMACI DELL'APPARATO GASTROINTESTINALE E DEL METABOLI,287
2014,324,ATS DELLA BRIANZA,R,SISTEMA RESPIRATORIO,R03,FARMACI PER LE SINDROMI OSTRUTTIVE DELLE VIE RESPIRATORIE,520433
2016,325,ATS DI BERGAMO,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,5672
2013,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A11,VITAMINE,249283
2013,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A09,"DIGESTIVI, INCLUSI GLI ENZIMI",10617
2016,30,REGIONE LOMBARDIA,N,SISTEMA NERVOSO,N02,ANALGESICI,3085097
2016,30,REGIONE LOMBARDIA,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,142715
2016,325,ATS DI BERGAMO,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,11208
2016,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A01,STOMATOLOGICI,68
2016,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A02,FARMACI PER I DISTURBI CORRELATI ALLA SECREZIONE ACIDA,1406434
2013,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C03,DIURETICI,679926
2016,325,ATS DI BERGAMO,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,516
2016,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A12,INTEGRATORI MINERALI,49937
2013,322,ATS DELL'INSUBRIA,B,SANGUE E ORGANI EMOPOIETICI,B05,SUCCEDANEI DEL SANGUE E SOLUZIONI PERFUSIONALI,48036
2013,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A05,TERAPIA BILIARE ED EPATICA,60946
2014,324,ATS DELLA BRIANZA,R,SISTEMA RESPIRATORIO,R05,PREPARATI PER LA TOSSE E LE MALATTIE DA RAFFREDDAMENTO,1884
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,R,SISTEMA RESPIRATORIO,R05,PREPARATI PER LA TOSSE E LE MALATTIE DA RAFFREDDAMENTO,5836
2016,325,ATS DI BERGAMO,N,SISTEMA NERVOSO,N03,ANTIEPILETTICI,400753
2016,326,ATS DI BRESCIA,N,SISTEMA NERVOSO,N01,ANESTETICI,4677
2012,323,ATS DELLA MONTAGNA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,49905
2012,323,ATS DELLA MONTAGNA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,158
2012,326,ATS DI BRESCIA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,212112
2013,322,ATS DELL'INSUBRIA,B,SANGUE E ORGANI EMOPOIETICI,B01,ANTITROMBOTICI,1515748
2013,322,ATS DELL'INSUBRIA,B,SANGUE E ORGANI EMOPOIETICI,B03,FARMACI ANTIANEMICI,197659
2013,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C09,SOSTANZE AD AZIONE SUL SISTEMA RENINA-ANGIOTENSINA,3357203
2013,328,ATS DI PAVIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,153806
2016,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",159524
2013,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C08,CALCIOANTAGONISTI,1121218
2014,327,ATS DELLA VAL PADANA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,89038
2013,322,ATS DELL'INSUBRIA,B,SANGUE E ORGANI EMOPOIETICI,B06,ALTRI AGENTI EMATOLOGICI,4
2013,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A01,STOMATOLOGICI,45
2013,325,ATS DI BERGAMO,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,213241
2013,325,ATS DI BERGAMO,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,1834
2015,322,ATS DELL'INSUBRIA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,310023
2016,326,ATS DI BRESCIA,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,19028
2016,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,5268
2017,30,REGIONE LOMBARDIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,4735407
2012,323,ATS DELLA MONTAGNA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,88307
2012,323,ATS DELLA MONTAGNA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,554
2013,328,ATS DI PAVIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,113728
2015,322,ATS DELL'INSUBRIA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",9675
2015,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C07,BETABLOCCANTI,938060
2016,30,REGIONE LOMBARDIA,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,1199220
2016,325,ATS DI BERGAMO,N,SISTEMA NERVOSO,N06,PSICOANALETTICI,644812
2013,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A03,FARMACI PER I DISTURBI FUNZIONALI GASTROINTESTINALI,5181
2013,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,6126
2013,328,ATS DI PAVIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,2013
2015,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C01,TERAPIA CARDIACA,424864
2015,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C08,CALCIOANTAGONISTI,812971
2013,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C02,ANTIPERTENSIVI,242979
2013,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A12,INTEGRATORI MINERALI,169892
2014,325,ATS DI BERGAMO,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,362
2015,322,ATS DELL'INSUBRIA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,7761
2016,30,REGIONE LOMBARDIA,N,SISTEMA NERVOSO,N05,PSICOLETTICI,1675112
2016,325,ATS DI BERGAMO,N,SISTEMA NERVOSO,N01,ANESTETICI,4229
2016,325,ATS DI BERGAMO,N,SISTEMA NERVOSO,N05,PSICOLETTICI,208953
2016,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A03,FARMACI PER I DISTURBI FUNZIONALI GASTROINTESTINALI,2965
2013,30,REGIONE LOMBARDIA,J,ANTINFETTIVI PER USO SISTEMICO,J05,ANTIVIRALI PER USO SISTEMICO,198888
2013,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A03,FARMACI PER I DISTURBI FUNZIONALI GASTROINTESTINALI,10352
2013,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",137597
2013,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A10,FARMACI USATI NEL DIABETE,494648
2014,324,ATS DELLA BRIANZA,R,SISTEMA RESPIRATORIO,R06,ANTISTAMINICI PER USO SISTEMICO,225636
2014,325,ATS DI BERGAMO,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,10317
2014,325,ATS DI BERGAMO,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",9505
2014,326,ATS DI BRESCIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,38935
2015,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C02,ANTIPERTENSIVI,164047
2015,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C03,DIURETICI,560784
2016,325,ATS DI BERGAMO,N,SISTEMA NERVOSO,N02,ANALGESICI,429618
2016,326,ATS DI BRESCIA,N,SISTEMA NERVOSO,N05,PSICOLETTICI,203456
2017,323,ATS DELLA MONTAGNA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,71759
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,M,SISTEMA MUSCOLO-SCHELETRICO,M03,MIORILASSANTI,21936
2014,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,671
2017,326,ATS DI BRESCIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,286377
2012,30,REGIONE LOMBARDIA,R,SISTEMA RESPIRATORIO,R03,FARMACI PER LE SINDROMI OSTRUTTIVE DELLE VIE RESPIRATORIE,4477457
2014,30,REGIONE LOMBARDIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,1396421
2015,30,REGIONE LOMBARDIA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,113805
2015,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M03,MIORILASSANTI,63858
2016,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C08,CALCIOANTAGONISTI,822669
2017,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,2030391
2012,30,REGIONE LOMBARDIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,332067
2012,30,REGIONE LOMBARDIA,R,SISTEMA RESPIRATORIO,R05,PREPARATI PER LA TOSSE E LE MALATTIE DA RAFFREDDAMENTO,13323
2012,328,ATS DI PAVIA,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,2774
2014,325,ATS DI BERGAMO,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,4156
2015,30,REGIONE LOMBARDIA,R,SISTEMA RESPIRATORIO,R06,ANTISTAMINICI PER USO SISTEMICO,1546948
2015,323,ATS DELLA MONTAGNA,V,VARI,V03,TUTTI GLI ALTRI PRODOTTI TERAPEUTICI,12618
2012,328,ATS DI PAVIA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,369
2012,328,ATS DI PAVIA,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,31153
2014,325,ATS DI BERGAMO,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,1169386
2015,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A02,FARMACI PER I DISTURBI CORRELATI ALLA SECREZIONE ACIDA,2293973
2016,322,ATS DELL'INSUBRIA,J,ANTINFETTIVI PER USO SISTEMICO,J05,ANTIVIRALI PER USO SISTEMICO,29302
2017,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,2466193
2014,30,REGIONE LOMBARDIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,4303801
2017,326,ATS DI BRESCIA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,1205
2012,30,REGIONE LOMBARDIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,80868
2014,30,REGIONE LOMBARDIA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,75970
2017,326,ATS DI BRESCIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,7574
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,C,SISTEMA CARDIOVASCOLARE,C02,ANTIPERTENSIVI,612517
2014,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D05,ANTIPSORIASICI,33963
2015,30,REGIONE LOMBARDIA,R,SISTEMA RESPIRATORIO,R05,PREPARATI PER LA TOSSE E LE MALATTIE DA RAFFREDDAMENTO,15418
2015,326,ATS DI BRESCIA,V,VARI,V03,TUTTI GLI ALTRI PRODOTTI TERAPEUTICI,61841
2017,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,69414
2017,326,ATS DI BRESCIA,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,1297725
2017,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,265231
2012,328,ATS DI PAVIA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,3692
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,C,SISTEMA CARDIOVASCOLARE,C03,DIURETICI,1815652
2014,30,REGIONE LOMBARDIA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,6881
2015,326,ATS DI BRESCIA,C,SISTEMA CARDIOVASCOLARE,C07,BETABLOCCANTI,978028
2016,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C02,ANTIPERTENSIVI,170222
2016,327,ATS DELLA VAL PADANA,R,SISTEMA RESPIRATORIO,R01,PREPARATI RINOLOGICI,28
2016,327,ATS DELLA VAL PADANA,R,SISTEMA RESPIRATORIO,R06,ANTISTAMINICI PER USO SISTEMICO,94856
2017,326,ATS DI BRESCIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,763
2015,327,ATS DELLA VAL PADANA,V,VARI,V03,TUTTI GLI ALTRI PRODOTTI TERAPEUTICI,19918
2017,326,ATS DI BRESCIA,J,ANTINFETTIVI PER USO SISTEMICO,J05,ANTIVIRALI PER USO SISTEMICO,28937
2012,328,ATS DI PAVIA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,1169
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,C,SISTEMA CARDIOVASCOLARE,C01,TERAPIA CARDIACA,1508923
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,542542
2015,30,REGIONE LOMBARDIA,B,SANGUE E ORGANI EMOPOIETICI,B01,ANTITROMBOTICI,9259396
2015,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,7862
2015,325,ATS DI BERGAMO,V,VARI,V03,TUTTI GLI ALTRI PRODOTTI TERAPEUTICI,38446
2016,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C07,BETABLOCCANTI,999430
2016,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,64932
2017,326,ATS DI BRESCIA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,4951
2017,326,ATS DI BRESCIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,1876
2012,30,REGIONE LOMBARDIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L02,TERAPIA ENDOCRINA,619078
2012,30,REGIONE LOMBARDIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,302051
2014,325,ATS DI BERGAMO,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,53653
2015,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M05,FARMACI PER IL TRATTAMENTO DELLE MALATTIE DELLE OSSA,1148805
2015,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A10,FARMACI USATI NEL DIABETE,826211
2016,327,ATS DELLA VAL PADANA,R,SISTEMA RESPIRATORIO,R03,FARMACI PER LE SINDROMI OSTRUTTIVE DELLE VIE RESPIRATORIE,390078
2016,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,260507
2012,328,ATS DI PAVIA,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,945
2014,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",14252
2015,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M04,ANTIGOTTOSI,981120
2016,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C03,DIURETICI,568812
2017,326,ATS DI BRESCIA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,2605
2015,30,REGIONE LOMBARDIA,B,SANGUE E ORGANI EMOPOIETICI,B03,FARMACI ANTIANEMICI,1738951
2015,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,2490684
2016,322,ATS DELL'INSUBRIA,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,1408001
2016,322,ATS DELL'INSUBRIA,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,66877
2017,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,33309
2017,326,ATS DI BRESCIA,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,4435
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,20652
2014,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,2531
2014,30,REGIONE LOMBARDIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,61636
2015,326,ATS DI BRESCIA,C,SISTEMA CARDIOVASCOLARE,C08,CALCIOANTAGONISTI,872216
2015,326,ATS DI BRESCIA,C,SISTEMA CARDIOVASCOLARE,C09,SOSTANZE AD AZIONE SUL SISTEMA RENINA-ANGIOTENSINA,2791224
2017,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,4834
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,1381947
2014,30,REGIONE LOMBARDIA,D,DERMATOLOGICI,D05,ANTIPSORIASICI,302243
2015,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A03,FARMACI PER I DISTURBI FUNZIONALI GASTROINTESTINALI,11330
2015,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",230140
2015,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A12,INTEGRATORI MINERALI,146907
2016,327,ATS DELLA VAL PADANA,R,SISTEMA RESPIRATORIO,R05,PREPARATI PER LA TOSSE E LE MALATTIE DA RAFFREDDAMENTO,865
2017,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,49547
2012,328,ATS DI PAVIA,D,DERMATOLOGICI,D05,ANTIPSORIASICI,22929
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,C,SISTEMA CARDIOVASCOLARE,C07,BETABLOCCANTI,2774775
2014,30,REGIONE LOMBARDIA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,21401
2015,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A11,VITAMINE,546504
2017,326,ATS DI BRESCIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,233549
2017,326,ATS DI BRESCIA,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,49897
2014,325,ATS DI BERGAMO,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,2756
2015,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A01,STOMATOLOGICI,107
2015,326,ATS DI BRESCIA,C,SISTEMA CARDIOVASCOLARE,C02,ANTIPERTENSIVI,227367
2016,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C10,SOSTANZE MODIFICATRICI DEI LIPIDI,1165087
2017,326,ATS DI BRESCIA,D,DERMATOLOGICI,D05,ANTIPSORIASICI,26133
2012,328,ATS DI PAVIA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",3855
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,M,SISTEMA MUSCOLO-SCHELETRICO,M04,ANTIGOTTOSI,266173
2014,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,7501
2014,325,ATS DI BERGAMO,J,ANTINFETTIVI PER USO SISTEMICO,J05,ANTIVIRALI PER USO SISTEMICO,21493
2016,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C09,SOSTANZE AD AZIONE SUL SISTEMA RENINA-ANGIOTENSINA,2448757
2012,325,ATS DI BERGAMO,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,198603
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,C,SISTEMA CARDIOVASCOLARE,C09,SOSTANZE AD AZIONE SUL SISTEMA RENINA-ANGIOTENSINA,8007603
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,C,SISTEMA CARDIOVASCOLARE,C10,SOSTANZE MODIFICATRICI DEI LIPIDI,3331958
2013,322,ATS DELL'INSUBRIA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,299176
2015,30,REGIONE LOMBARDIA,R,SISTEMA RESPIRATORIO,R03,FARMACI PER LE SINDROMI OSTRUTTIVE DELLE VIE RESPIRATORIE,4608858
2015,326,ATS DI BRESCIA,C,SISTEMA CARDIOVASCOLARE,C01,TERAPIA CARDIACA,512568
2016,322,ATS DELL'INSUBRIA,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,8405
2017,326,ATS DI BRESCIA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",6194
